company_id,co_number,display_name,plot_order,color_hex,is_benchmark,show_in_app
med,,Median,1,#000000,TRUE,TRUE
bes,180,BEST,2,#E69F00,FALSE,TRUE
cla,240,CLASSIC,3,#56B4E9,FALSE,TRUE
cre,150,CREST,4,#66CCEE,FALSE,TRUE
dep,160,DEPENDABLE,5,#117733,FALSE,TRUE
faz,140,FAZIO,7,#CC79A7,FALSE,TRUE
kli,130,KLINKE,8,#D55E00,FALSE,TRUE
kon,220,KONA,9,#999999,FALSE,TRUE
sum,170,SUMMERS,10,#AA4499,FALSE,TRUE
tod,110,TODAY,11,#009E73,FALSE,TRUE
zen,120,ZENGELER,12,#F0E442,FALSE,TRUE
zik,230,ZIKER,13,#AB4835,FALSE,TRUE
