mcbook_variable_name,metric,formula,display_label_long,format_type,aggregation_rule,time_period_support,higher_is_better,show_in_table_default,show_in_chart_default,can_drill,chart_family,report_sort_group,denominator_metric
ID,id,,,integer,,,,,,,,,
,date,,Date,date,,,,,,,,,
YR,yr,,Year,integer,,,,,,,,,
MO,mo,,Month,integer,,,,,,,,,
,qtr,,Quarter,integer,,,,,,,,,
No of Weeks,num_weeks,,Number of weeks,num2dec,sum,monthly|ytd|quarterly|annual,FALSE,TRUE,FALSE,FALSE,peer_bar,sales_revenue,
Dry Store Revenue,dry_store_rev,,Dry Store revenue,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,TRUE,TRUE,trend_line,sales_revenue,
Co Number,co_num,,,integer,,,,,,,,,
,co_id,,,string,,,,,,,,,
,rev_gross_sales,rev_dry + rev_ldy + rev_drape + rev_tailor + rev_other,Gross Sales,dollar,sum,monthly|ytd|quarterly|annual,TRUE,TRUE,TRUE,TRUE,trend_line,sales_revenue,
,rev_ttl_ldy_dry,rev_dry + rev_ldy,Dry Cleaning & Laundry Total ,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,TRUE,TRUE,trend_line,sales_revenue,
DryCln,rev_dry,,Dry Cleaning,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,FALSE,FALSE,stack_component,sales_revenue,
Laundry,rev_ldy,,Laundry,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,FALSE,FALSE,stack_component,sales_revenue,
Drapes,rev_drape,,Drapes,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,FALSE,FALSE,stack_component,sales_revenue,
Tailoring,rev_tailor,,Tailoring,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,FALSE,FALSE,stack_component,sales_revenue,
Other Revenue,rev_other,,Other,dollar,sum,monthly|ytd|quarterly|annual,TRUE,FALSE,FALSE,FALSE,stack_component,sales_revenue,
,disc_ttl,disc_dry + disc_ldy,Total Discount,dollar,sum,monthly|ytd|quarterly|annual,FALSE,TRUE,TRUE,TRUE,trend_line,sales_discount,
Discount DC,disc_dry,,Dry Cleaning Discount,dollar,sum,monthly|ytd|quarterly|annual,FALSE,FALSE,FALSE,FALSE,stack_component,sales_discount,
Dsicount LDY,disc_ldy,,Laundry Discount,dollar,sum,monthly|ytd|quarterly|annual,FALSE,FALSE,FALSE,FALSE,stack_component,sales_discount,
,rev_net_sales,rev_gross_sales - disc_dry - disc_ldy,Net Sales,dollar,sum,monthly|ytd|quarterly|annual,TRUE,TRUE,TRUE,TRUE,trend_line,sales_total,
