metric,display_label_long,report_view,layout_row_id,section_order,metric_order_wi_section,indent_level,row_border_top,row_kind,include_in_default_view,drilldown_parent_metric,font,layout_row_adj,display_override_dollars,display_override_percent,display_override_rank
id,,,,,,,,,,,,,value,percent,rank
date,Date,,,,,,,,,,,,value,percent,rank
yr,Year,,,,,,,,,,,,value,percent,rank
mo,Month,,,,,,,,,,,,value,percent,rank
qtr,Quarter,,,,,,,,,,,,value,percent,rank
dry_store_rev,Dry Store revenue,,,,,,,,,,,,value,percent,rank
co_num,,,,,,,,,,,,,value,percent,rank
co_id,,,,,,,,,,,,,value,percent,rank
num_weeks,Weeks in period,Profit & Loss Statement,1,1,1,0,,detail,FALSE,,italics,,value,value,blank
,SALES,Profit & Loss Statement,2,2,1,0,double,section_header,TRUE,,bold,,value,percent,rank
rev_gross_sales,GROSS SALES,Profit & Loss Statement,3,2,1,0,double,section_total,TRUE,,bold,,value,percent,rank
rev_dry,Dry Cleaning,Profit & Loss Statement,4,2,2,1,thin,detail,FALSE,rev_gross_sales,,,value,percent,rank
rev_ldy,Laundry,Profit & Loss Statement,5,2,3,1,,detail,FALSE,rev_gross_sales,,,value,percent,rank
rev_ttl_ldy_dry,Dry Cleaning & Laundry Total ,Profit & Loss Statement,6,2,4,2,thin,sub_total,FALSE,rev_gross_sales,italics,,value,percent,rank
rev_drape,Drapes,Profit & Loss Statement,7,2,5,1,,detail,FALSE,rev_gross_sales,,,value,percent,rank
rev_tailor,Tailoring,Profit & Loss Statement,8,2,6,1,,detail,FALSE,rev_gross_sales,,,value,percent,rank
rev_other,Other,Profit & Loss Statement,9,2,7,1,,detail,FALSE,rev_gross_sales,,,value,percent,rank
disc_ttl,TOTAL DISCOUNT,Profit & Loss Statement,10,3,1,0,thin,section_total,TRUE,,bold,,value,percent,rank
disc_dry,Dry Cleaning Discount,Profit & Loss Statement,11,3,2,1,thin,detail,FALSE,disc_ttl,,,value,percent,rank
disc_ldy,Laundry Discount,Profit & Loss Statement,12,3,3,1,,detail,FALSE,disc_ttl,,,value,percent,rank
rev_net_sales,NET SALES,Profit & Loss Statement,13,4,1,0,double,total,TRUE,,bold,,value,value,blank
,EXPENSES,Profit & Loss Statement,14,5,1,0,double,section_header,TRUE,,bold,,value,percent,rank
exp_pl_prod_labor,PRODUCTIVE LABOR,Profit & Loss Statement,15,6,1,3,double,detail,FALSE,exp_ttl,bold,,value,percent,rank
exp_ow_outside_work,OUTSIDE WORK,Profit & Loss Statement,16,6,2,3,thin,detail,FALSE,exp_ttl,bold,,value,percent,rank
exp_ps_ttl,PRODUCTIVE SUPPLIES,Profit & Loss Statement,17,7,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_ps_solv_soap_chem,Solv Soap Chem,Profit & Loss Statement,18,7,2,4,thin,detail,FALSE,exp_ps_ttl,,,value,percent,rank
exp_ps_haz_waste,Haz Waste,Profit & Loss Statement,19,7,3,4,,detail,FALSE,exp_ps_ttl,,,value,percent,rank
exp_ps_finishing,Finishing,Profit & Loss Statement,20,7,4,4,,detail,FALSE,exp_ps_ttl,,,value,percent,rank
exp_ps_packaging,Packaging,Profit & Loss Statement,21,7,5,4,,detail,FALSE,exp_ps_ttl,,,value,percent,rank
exp_ut_ttl,UTILITIES,Profit & Loss Statement,22,8,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_ut_gas_oil,Gas / Oil,Profit & Loss Statement,23,8,2,4,thin,detail,FALSE,exp_ut_ttl,,,value,percent,rank
exp_ut_electricity,Electricity,Profit & Loss Statement,24,8,3,4,,detail,FALSE,exp_ut_ttl,,,value,percent,rank
exp_ut_water_sewer,Water / Sewer,Profit & Loss Statement,25,8,4,4,,detail,FALSE,exp_ut_ttl,,,value,percent,rank
exp_ut_tele_data,Telephone / Data,Profit & Loss Statement,26,8,5,4,,detail,FALSE,exp_ut_ttl,,,value,percent,rank
exp_bg_ttl,BUILDING,Profit & Loss Statement,27,9,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_bg_rent,Rent,Profit & Loss Statement,28,9,2,4,thin,detail,FALSE,exp_bg_ttl,,,value,percent,rank
exp_bg_repairs_maint,Repairs / Maintenance,Profit & Loss Statement,29,9,3,4,,detail,FALSE,exp_bg_ttl,,,value,percent,rank
exp_bg_depr,Depreciation,Profit & Loss Statement,30,9,4,4,,detail,FALSE,exp_bg_ttl,,,value,percent,rank
exp_ma_ttl,MACHINE,Profit & Loss Statement,31,10,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_ma_labor,Labor,Profit & Loss Statement,32,10,2,4,thin,detail,FALSE,exp_ma_ttl,,,value,percent,rank
exp_ma_repairs,Repairs,Profit & Loss Statement,33,10,3,4,,detail,FALSE,exp_ma_ttl,,,value,percent,rank
exp_ma_depr,Depreciation,Profit & Loss Statement,34,10,4,4,,detail,FALSE,exp_ma_ttl,,,value,percent,rank
exp_ma_leases,Equipment Leases,Profit & Loss Statement,35,10,5,4,,detail,FALSE,exp_ma_ttl,,,value,percent,rank
exp_ic_ttl,INDIRECT LABOR,Profit & Loss Statement,36,11,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_ic_labor_indirect,Indirect Labor,Profit & Loss Statement,37,11,2,4,thin,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_benefits,Benefits,Profit & Loss Statement,38,11,3,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_labor_supervis,Supervisory Labor,Profit & Loss Statement,39,11,4,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_exp_incl_trash,Expenses w/ Trash,Profit & Loss Statement,40,11,5,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_insu_comp,Workers' Comp Insurance,Profit & Loss Statement,41,11,6,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_insu_prop_liab,Property Liability Insurance,Profit & Loss Statement,42,11,7,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_tax_payroll,Payroll Tax,Profit & Loss Statement,43,11,8,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_tax_other,Other Tax,Profit & Loss Statement,44,11,9,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_ic_claims,Claims,Profit & Loss Statement,45,11,10,4,,detail,FALSE,exp_ic_ttl,,,value,percent,rank
exp_sd_ttl,SALES AND DISTRIBUTION,Profit & Loss Statement,46,12,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_sd_labor_delivery,Delivery Labor,Profit & Loss Statement,47,12,2,4,thin,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_fleet_expense,Fleet Expense,Profit & Loss Statement,48,12,3,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_delivery_depr,Depreciation,Profit & Loss Statement,49,12,4,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_fleet_insurance,Fleet insurance,Profit & Loss Statement,50,12,5,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_dry_store_exp,Dry Store Expenses,Profit & Loss Statement,51,12,6,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_dry_store_labor,Dry Store Labor,Profit & Loss Statement,52,12,7,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_dry_store_computer_exp,Dry Store Computer Expense,Profit & Loss Statement,53,12,8,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_dry_store_computer_depr,Dry Store Computer Deprec,Profit & Loss Statement,54,12,9,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_sd_sales_promo_marketing,Sales / Promo marketing,Profit & Loss Statement,55,12,10,4,,detail,FALSE,exp_sd_ttl,,,value,percent,rank
exp_oa_ttl,OFFICE & ADMINISTRATION,Profit & Loss Statement,56,13,1,2,thin,section_total,FALSE,exp_ttl,bold,,value,percent,rank
exp_oa_labor,Office & Admin Labor,Profit & Loss Statement,57,13,2,4,thin,detail,FALSE,exp_oa_ttl,,,value,percent,rank
exp_oa_supply,Office & Admin Supply,Profit & Loss Statement,58,13,3,4,,detail,FALSE,exp_oa_ttl,,,value,percent,rank
exp_oa_expenses,Office & Admin Expense,Profit & Loss Statement,59,13,4,4,,detail,FALSE,exp_oa_ttl,,,value,percent,rank
